# coco-attribution v1
# test	dev.cajeta.logging.selftest.AppenderTest::fileAppenderWritesOneJsonlLinePerRecord(pointer)	covered=47	unique=13
# test	dev.cajeta.logging.selftest.AppenderTest::fileAppenderGatesBelowThreshold(pointer)	covered=47	unique=11
# test	dev.cajeta.logging.selftest.AppenderTest::compositeAppenderFansOutToEverySink(pointer)	covered=63	unique=29
# test	dev.cajeta.logging.selftest.DiLoggingTest::factoryLoggerCapturesViaTestComponent(pointer)	covered=41	unique=7
# test	dev.cajeta.logging.selftest.DiLoggingTest::factoryLoggerRespectsThreshold(pointer)	covered=43	unique=8
# test	dev.cajeta.logging.selftest.EncoderTest::textRendersLevelLoggerMsgAndFields(pointer)	covered=61	unique=10
# test	dev.cajeta.logging.selftest.EncoderTest::textQuotesFieldValuesWithSpaces(pointer)	covered=55	unique=6
# test	dev.cajeta.logging.selftest.EncoderTest::textPadsShortLevels(pointer)	covered=31	unique=5
# test	dev.cajeta.logging.selftest.EncoderTest::logfmtRendersReservedKeysThenFields(pointer)	covered=60	unique=12
# test	dev.cajeta.logging.selftest.EncoderTest::logfmtEscapesQuotesInValues(pointer)	covered=50	unique=6
# test	dev.cajeta.logging.selftest.LoggedAnnotationTest::logFieldIsNamedForAnnotatedClass(pointer)	covered=5	unique=3
# test	dev.cajeta.logging.selftest.LoggedAnnotationTest::logFieldGatesAtInfoByDefault(pointer)	covered=12	unique=6
# test	dev.cajeta.logging.selftest.LoggedAnnotationTest::convenienceCallsDoNotCrash(pointer)	covered=11	unique=5
# test	dev.cajeta.logging.selftest.LoggedReflectionDiscoveryTest::logIsInitializedOnReflectivelyDiscoveredClass(pointer)	covered=3	unique=3
# test	dev.cajeta.logging.selftest.LoggingTest::infoLineIsCapturedAsJsonl(pointer)	covered=44	unique=10
# test	dev.cajeta.logging.selftest.LoggingTest::belowThresholdIsGatedOut(pointer)	covered=43	unique=8
# test	dev.cajeta.logging.selftest.LoggingTest::fieldsRenderAfterReservedKeys(pointer)	covered=70	unique=20
# test	dev.cajeta.unit.selftest.discovery.ExampleTest::beforeEachRanOnFreshInstance(pointer)	covered=0	unique=0
# test	dev.cajeta.unit.selftest.discovery.ExampleTest::mutationDoesNotLeakAcrossTests(pointer)	covered=0	unique=0
# test	dev.cajeta.unit.selftest.discovery.ExampleTest::assertionsWork(pointer)	covered=0	unique=0
dev/cajeta/logging/CapturingAppender.cajeta	21	5	dev.cajeta.logging.selftest.DiLoggingTest::factoryLoggerCapturesViaTestComponent(pointer)|dev.cajeta.logging.selftest.DiLoggingTest::factoryLoggerRespectsThreshold(pointer)|dev.cajeta.logging.selftest.LoggingTest::infoLineIsCapturedAsJsonl(pointer)|dev.cajeta.logging.selftest.LoggingTest::belowThresholdIsGatedOut(pointer)|+1
dev/cajeta/logging/CapturingAppender.cajeta	22	5	dev.cajeta.logging.selftest.DiLoggingTest::factoryLoggerCapturesViaTestComponent(pointer)|dev.cajeta.logging.selftest.DiLoggingTest::factoryLoggerRespectsThreshold(pointer)|dev.cajeta.logging.selftest.LoggingTest::infoLineIsCapturedAsJsonl(pointer)|dev.cajeta.logging.selftest.LoggingTest::belowThresholdIsGatedOut(pointer)|+1
dev/cajeta/logging/CapturingAppender.cajeta	23	5	dev.cajeta.logging.selftest.DiLoggingTest::factoryLoggerCapturesViaTestComponent(pointer)|dev.cajeta.logging.selftest.DiLoggingTest::factoryLoggerRespectsThreshold(pointer)|dev.cajeta.logging.selftest.LoggingTest::infoLineIsCapturedAsJsonl(pointer)|dev.cajeta.logging.selftest.LoggingTest::belowThresholdIsGatedOut(pointer)|+1
dev/cajeta/logging/CapturingAppender.cajeta	27	5	dev.cajeta.logging.selftest.DiLoggingTest::factoryLoggerCapturesViaTestComponent(pointer)|dev.cajeta.logging.selftest.DiLoggingTest::factoryLoggerRespectsThreshold(pointer)|dev.cajeta.logging.selftest.LoggingTest::infoLineIsCapturedAsJsonl(pointer)|dev.cajeta.logging.selftest.LoggingTest::belowThresholdIsGatedOut(pointer)|+1
dev/cajeta/logging/CapturingAppender.cajeta	31	3	dev.cajeta.logging.selftest.DiLoggingTest::factoryLoggerCapturesViaTestComponent(pointer)|dev.cajeta.logging.selftest.LoggingTest::infoLineIsCapturedAsJsonl(pointer)|dev.cajeta.logging.selftest.LoggingTest::fieldsRenderAfterReservedKeys(pointer)
dev/cajeta/logging/CompositeAppender.cajeta	20	1	dev.cajeta.logging.selftest.AppenderTest::compositeAppenderFansOutToEverySink(pointer)
dev/cajeta/logging/CompositeAppender.cajeta	25	1	dev.cajeta.logging.selftest.AppenderTest::compositeAppenderFansOutToEverySink(pointer)
dev/cajeta/logging/CompositeAppender.cajeta	26	1	dev.cajeta.logging.selftest.AppenderTest::compositeAppenderFansOutToEverySink(pointer)
dev/cajeta/logging/CompositeAppender.cajeta	30	1	dev.cajeta.logging.selftest.AppenderTest::compositeAppenderFansOutToEverySink(pointer)
dev/cajeta/logging/CompositeAppender.cajeta	31	1	dev.cajeta.logging.selftest.AppenderTest::compositeAppenderFansOutToEverySink(pointer)
dev/cajeta/logging/CompositeAppender.cajeta	32	1	dev.cajeta.logging.selftest.AppenderTest::compositeAppenderFansOutToEverySink(pointer)
dev/cajeta/logging/CompositeAppender.cajeta	33	1	dev.cajeta.logging.selftest.AppenderTest::compositeAppenderFansOutToEverySink(pointer)
dev/cajeta/logging/CompositeAppender.cajeta	34	1	dev.cajeta.logging.selftest.AppenderTest::compositeAppenderFansOutToEverySink(pointer)
