module	srcLine	mutation	verdict	method
dev/cajeta/logging/CapturingAppender.ll	17	ne->eq	skipped-uncovered	dev.cajeta.logging.CapturingAppender::CapturingAppender(this:pointer)
dev/cajeta/logging/CapturingAppender.ll	0	eq->ne	killed	dev.cajeta.logging.CapturingAppender::__cajeta_inject()
dev/cajeta/logging/CapturingAppender.ll	0	eq->ne	SURVIVED	dev.cajeta.logging.CapturingAppender::__cajeta_inject()
dev/cajeta/logging/CompositeAppender.ll	20	ne->eq	SURVIVED	dev.cajeta.logging.CompositeAppender::CompositeAppender(this:pointer)
dev/cajeta/logging/CompositeAppender.ll	33	slt->sle	killed	dev.cajeta.logging.CompositeAppender::append(this:pointer,line:int8[])
dev/cajeta/logging/CompositeAppender.ll	37	slt->sle	killed	dev.cajeta.logging.CompositeAppender::append(this:pointer,line:int8[])
dev/cajeta/logging/CompositeAppender.ll	38	uge->ugt	SURVIVED	dev.cajeta.logging.CompositeAppender::append(this:pointer,line:int8[])
dev/cajeta/logging/CompositeAppender.ll	42	uge->ugt	SURVIVED	dev.cajeta.logging.CompositeAppender::append(this:pointer,line:int8[])
dev/cajeta/logging/FileAppender.ll	32	ne->eq	skipped-uncovered	dev.cajeta.logging.FileAppender::FileAppender(this:pointer)
dev/cajeta/logging/FileAppender.ll	25	ne->eq	SURVIVED	dev.cajeta.logging.FileAppender::FileAppender(this:pointer,path:cajeta.lang.String,mode:cajeta.io.file.OpenMode)
dev/cajeta/logging/JsonlEncoder.ll	21	ne->eq	killed	dev.cajeta.logging.JsonlEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/JsonlEncoder.ll	29	slt->sle	killed	dev.cajeta.logging.JsonlEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/JsonlEncoder.ll	31	eq->ne	killed	dev.cajeta.logging.JsonlEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/JsonlEncoder.ll	43	ne->eq	killed	dev.cajeta.logging.JsonlEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/JsonlEncoder.ll	32	ne->eq	killed	dev.cajeta.logging.JsonlEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/JsonlEncoder.ll	32	eq->ne	killed	dev.cajeta.logging.JsonlEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/JsonlEncoder.ll	34	ne->eq	killed	dev.cajeta.logging.JsonlEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/JsonlEncoder.ll	34	eq->ne	killed	dev.cajeta.logging.JsonlEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/JsonlEncoder.ll	36	ne->eq	killed	dev.cajeta.logging.JsonlEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/JsonlEncoder.ll	38	ne->eq	skipped-uncovered	dev.cajeta.logging.JsonlEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/JsonlEncoder.ll	0	eq->ne	SURVIVED	dev.cajeta.logging.JsonlEncoder::__cajeta_inject()
dev/cajeta/logging/JsonlEncoder.ll	0	eq->ne	SURVIVED	dev.cajeta.logging.JsonlEncoder::__cajeta_inject()
dev/cajeta/logging/Levels.ll	27	eq->ne	killed	dev.cajeta.logging.Levels::name(l:dev.cajeta.logging.Level)
dev/cajeta/logging/Levels.ll	28	eq->ne	skipped-uncovered	dev.cajeta.logging.Levels::name(l:dev.cajeta.logging.Level)
dev/cajeta/logging/Levels.ll	30	eq->ne	skipped-uncovered	dev.cajeta.logging.Levels::name(l:dev.cajeta.logging.Level)
dev/cajeta/logging/Levels.ll	32	eq->ne	killed	dev.cajeta.logging.Levels::name(l:dev.cajeta.logging.Level)
dev/cajeta/logging/Levels.ll	34	eq->ne	SURVIVED	dev.cajeta.logging.Levels::name(l:dev.cajeta.logging.Level)
dev/cajeta/logging/Levels.ll	11	eq->ne	killed	dev.cajeta.logging.Levels::severity(l:dev.cajeta.logging.Level)
dev/cajeta/logging/Levels.ll	12	eq->ne	skipped-uncovered	dev.cajeta.logging.Levels::severity(l:dev.cajeta.logging.Level)
dev/cajeta/logging/Levels.ll	14	eq->ne	killed	dev.cajeta.logging.Levels::severity(l:dev.cajeta.logging.Level)
dev/cajeta/logging/Levels.ll	16	eq->ne	SURVIVED	dev.cajeta.logging.Levels::severity(l:dev.cajeta.logging.Level)
dev/cajeta/logging/Levels.ll	18	eq->ne	SURVIVED	dev.cajeta.logging.Levels::severity(l:dev.cajeta.logging.Level)
dev/cajeta/logging/LogField.ll	22	ne->eq	SURVIVED	dev.cajeta.logging.LogField::LogField(this:pointer,kind:int32,key:cajeta.lang.String)
dev/cajeta/logging/LogfmtEncoder.ll	18	ule->ult	SURVIVED	dev.cajeta.logging.LogfmtEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/LogfmtEncoder.ll	18	ule->ult	SURVIVED	dev.cajeta.logging.LogfmtEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
dev/cajeta/logging/LogfmtEncoder.ll	18	ule->ult	SURVIVED	dev.cajeta.logging.LogfmtEncoder::encode(this:pointer,r:dev.cajeta.logging.LogRecord)
